,beds,baths,size,zip_code,price
0,3,2.5,2590,329415,795000
1,4,2,2240,471111,915000
2,4,3,2040,235074,950000
3,4,3,3800,241303,1950000
4,2,2,1042,240935,950000
5,2,2,1190,315012,740000
6,1,1,670,459026,460000
7,5,3.5,4510,530441,3150000
8,3,2.5,1520,544041,565000
9,4,2,2340,560541,699000
10,3,2,1320,508741,899000
11,3,2,1800,610366,1050000
12,3,2.5,2490,630155,935625
13,4,3,2650,636221,1511000
14,5,1.5,2560,641097,1330000
15,2,1.5,900,715005,549755
16,3,3.5,1360,725452,700000
17,1,1,550,773728,330000
18,3,2.5,2974,841354,1750000
19,4,3.5,1989,864494,980000
20,2,2,1332,869239,845000
21,4,3,2668,879677,1213000
22,2,1,770,941796,530000
23,3,1.5,1280,968284,625000
24,5,3.5,3200,993530,1275000
25,2,1.5,889,100277,680000
26,1,1,508,100577,325000
27,3,2,3140,100903,1219700
28,4,2,2000,101227,907200
29,1,1,792,101542,517000
30,3,2.5,1690,102537,760000
31,4,5.5,3000,102688,1484000
32,3,3,1550,103425,950000
33,2,2,871,104011,430000
34,4,1.5,1940,104606,520000
35,1,1,474,104991,335000
36,3,2,1770,105227,805000
37,5,5,2510,105592,1000000
38,1,1,750,105836,375000
39,1,1,573,106738,390000
40,3,2.5,1500,107094,1070000
41,5,4,2920,107597,948000
42,3,2,2817,107766,912000
43,1,1,617,107777,480000
44,2,2,1280,107781,776000
45,2,2,1523,107811,1395000
46,2,1,1240,108355,750000
47,4,2.5,2280,108693,1065000
48,5,3.5,3590,108780,2350000
49,4,3.5,2478,109125,1580000
50,3,3,2360,109137,1775000
51,2,1,720,109393,600000
52,3,2,2480,110499,800000
53,3,2,1550,110516,1100000
54,2,1,780,110907,750000
55,5,3,2820,111392,865000
56,5,3,2900,111930,1450000
57,2,2,1092,112014,829000
58,3,2,1731,112033,575000
59,3,2.5,1500,112044,860000
60,2,2.5,1344,112141,770000
61,4,5.5,4040,112615,5495000
62,5,3,2320,113083,560000
63,5,3,2820,113649,900000
64,3,1,1070,114525,575000
65,2,1,1113,114530,595000
66,4,2,2100,114630,950000
67,3,2.5,2620,114888,1300000
68,3,2,1270,115731,727000
69,3,2,2702,115849,1605000
70,4,3.5,2031,116870,1480000
71,3,2,2350,117479,888000
72,4,1.5,2640,117896,1850000
73,3,1.5,1340,118125,615000
74,6,3.5,8660,118164,4100000
75,2,2.5,1365,119459,525000
76,1,1,635,120936,509950
77,3,1,1800,121696,549000
78,2,1,870,122330,555000
79,3,3.5,1510,123148,660000
80,3,1,1120,123371,615000
81,4,2.5,2580,124128,1635000
